Refresh rate, cpu cycles, bus cycles, instr, branch instructions, branch misses, bpu access, bpu miss, cache ref, cache misses, dtlb read, dtlb miss, itlb read accesses, itlb read misses
1000000000,32992716,2235815,5257261,1180948,96567,1006176,95707,307219,0,3254,10743,0,0
1000000000,25429743,1837151,4272771,968385,89854,1052658,93596,300257,189,3512,9274,0,0
1000000000,41840988,2535357,16700461,1918370,100452,1182424,97941,322808,0,3867,10073,1,0
1000000000,30168505,2560049,6332707,1448183,97537,1344399,102880,315336,0,3958,12013,0,0
1000000000,38748460,1927586,4895338,1065860,98352,1080909,101448,313611,0,2598,10063,0,0
1000000000,29774470,2091944,7853942,1298145,117826,1350196,118414,265947,75,2690,10353,0,0
1000000000,29933961,2167474,4688321,1063898,105182,1042231,101958,300855,0,2649,11520,3,0
1000000000,30541086,2058436,17103502,5872273,204032,5803527,176850,286983,0,3390,11551,0,18
1000000000,38069464,2473789,5906830,984452,104442,1128083,107184,301642,0,2771,10027,0,0
1000000000,26771989,2020283,4762797,1101628,101686,1038884,96826,264918,162,1997,9538,0,0
1000000000,30898367,2199273,8056187,1916015,115664,1471899,95958,319373,331,3746,10922,0,0
1000000000,38978532,2514950,6270395,1347909,95368,979978,95539,304331,0,4368,9797,31,28
1000000000,31525298,2322447,8321444,1904400,130165,1106634,147417,357208,0,2608,9610,0,0
1000000000,32681819,2352291,9297835,2041041,98915,1315173,96137,264468,0,2532,12116,0,0
1000000000,29654378,2085461,4692892,969963,96326,1049331,108081,334679,293,2489,9573,0,0
1000000000,26766075,1895795,4281690,1765553,129807,1794050,123495,277188,0,2587,9186,32,33
1000000000,32227446,2305414,4922217,1066400,97618,1272826,93113,254079,0,2642,11701,0,0
1000000000,41907594,3066006,29508576,3803253,120522,2104452,121394,290322,0,3086,11263,0,0
1000000000,32899830,1838916,8288869,1915020,130053,2019365,131825,287356,344,2107,8651,0,0
1000000000,27628544,1951205,4419075,963386,92909,941842,92391,284819,0,3145,10587,32,33
1000000000,27954845,1821323,5750079,1220264,91256,1213117,121995,307040,0,3461,10263,0,0
1000000000,40040688,2787876,9082659,1417157,97230,991687,124186,364703,0,7441,12654,0,0
1000000000,28021020,2389951,21091256,6346415,225713,7102037,208829,307865,187,3001,9947,0,0
1000000000,28830502,2057385,6326037,1640938,116501,2781324,185797,356157,0,4677,10924,1,0
1000000000,37196699,2595826,6286002,1408709,95799,1026270,92717,295763,0,4724,10042,0,15
1000000000,29342177,2170677,6163398,1169363,106679,1097436,102994,295863,0,4205,10585,0,0
1000000000,30750245,2108416,5131696,1089858,105659,1671765,105820,284389,1196,4021,11060,0,0
1000000000,120468877,8595432,40006467,10183624,85531,11045729,191757,384269,0,4685,9331,2,0
1000000000,26364850,1906216,4527417,998773,99331,1388531,112280,310655,0,2653,9101,0,23
1000000000,32990940,2385314,5758627,1109727,101186,1458681,95546,273129,0,4846,12644,0,0
1000000000,32565071,2708058,9438325,1375890,103651,1346168,104539,320045,764,4338,11617,0,0
1000000000,34651246,1834341,4316025,999137,100739,1091306,104173,306733,925,3410,9146,0,0
1000000000,44917238,2668412,15490815,1074557,111626,1047663,103282,268791,0,4507,13605,39,22
1000000000,34544987,2150903,7429415,1362582,101613,1364958,98253,275043,0,3720,12887,0,0
1000000000,36027117,2592481,6553419,1125821,105882,1040884,103340,291300,0,3181,8839,0,0
1000000000,26753561,2254715,9505021,2155021,139740,2104926,110666,304895,354,2814,9671,0,0
1000000000,33420861,2278636,4866128,1363811,96581,1322983,98964,288825,0,3829,12970,34,33
